latitude,longitude,free_bikes,empty_slots,name
43.6614605,-79.37894570000002,0,23,Granby St / Church St - SMART
43.69413548199171,-79.30058718775287,16,4,Lumsden Ave / Eastdale Ave
43.7254665,-79.40115449999999,0,22,Yonge St / Lawrence Ave E
43.7083577,-79.39886200000001,30,5,Yonge St / Orchard View Blvd
43.7027268,-79.33368089999999,1,17,Lower Don River Trail and Taylor Creek Trail
43.70567,-79.310554,6,13,St Columba Pl / St Clair Ave E
43.635,-79.4088888888889,7,12,Strachan Ave / Princes' Blvd
43.656784782853144,-79.35627385059036,12,2,King St E / River St
43.732016,-79.403637,3,12,Yonge St / Golfdale Rd
43.67468857448634,-79.36701962396272,1,16,640 Bloor Street E
43.727365488246306,-79.3814254607724,5,10,York University (Glendon Campus) - SMART
43.6846177,-79.39245919999999,3,11,1303 Yonge St - SMART
43.77345,-79.5002,0,16,York University Station (South) - SMART
43.686442,-79.313404,6,8,Woodbine Subway Station
43.66402799999999,-79.40297869999999,1,31,Spadina Ave / Sussex Ave - SMART
43.65049,-79.3873,4,34,Simcoe St / Queen St W
43.64134790000001,-79.4013882,14,20,Bathurst St / Front St W
43.64215,-79.377,20,3,Bay St / Harbour St (East)
43.6392777,-79.4115736,3,16,East Liberty St / Western Battery Rd
43.645102,-79.39744979999999,5,15,King St W / Brant St
43.6602021,-79.4342726,2,5,Bloor St W / Gladstone Ave - SMART
43.637381,-79.406112,5,7,Fort York Blvd / Garrison Rd
43.63811,-79.397877,2,24,Housey St / Dan Leckie Way
